정류장ID,정류장명,위도,경도,노선 개수,승차,하차,환승,승차 비율,하차 비율,환승 비율,고정인구,유동인구,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,상가,중고등학교,대학교,관광 명소,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부
293064151,가재마을11단지,36.5043789,127.2501706,1,10375,24251,604,0.29449333,0.688362191,0.0171444791,5537,88689,0,0,0,1,20,354,0,0,0,19.2,102,1.041666667,0
293064150,대법원등기정보센터,36.5118935,127.2423344,2,64554,15191,5300,0.75905697,0.178623082,0.0623199483,2643,151477,0,0,0,0,11,303,1,0,0,25.5,94.2,0.980392157,0
293064169,"새샘마을1,2단지",36.480853,127.299974,2,4514,13007,122,0.255852179,0.737232897,0.00691492377,5051,9302,0,0,0,1,12,34,3,0,0,16.1,49.8,0.931677019,0
293064168,"새샘마을1,2단지",36.4807836,127.298936,2,16807,3601,259,0.813228819,0.174239125,0.0125320559,4676,9302,0,0,0,0,13,33,2,0,0,14.7,56.8,1.020408163,0
293064167,"호려울마을8,9단지",36.4797747,127.296745,2,9749,16286,211,0.371447078,0.620513602,0.00803932028,5196,30530,0,0,0,0,12,39,1,0,0,16.1,88.5,1.552795031,0
293064166,"호려울마을8,9단지",36.4796473,127.2960085,2,25466,5586,398,0.80972973,0.177615262,0.0126550079,4564,30530,0,0,0,0,13,40,1,0,0,14.2,82.5,1.76056338,0
293064164,"세종우체국(남부서,보람초)",36.4802554,127.2931435,5,9464,42472,1516,0.17705605,0.794582055,0.0283618948,5252,30530,0,0,0,1,13,127,1,0,0,22.3,175.4,0.67264574,0
293064178,다정동(장기로),36.4998106,127.2345693,2,1311,2447,105,0.339373544,0.633445509,0.0271809475,1422,195759,0,0,0,0,5,55,0,0,0,29.3,164.7,0.853242321,0
293064207,보람동(해들마을),36.4746524,127.2805,5,28419,40690,3157,0.393255473,0.5630587,0.0436858274,4062,53839,0,0,0,0,8,169,0,0,0,37,213.8,0.405405405,0
293064206,보람동.대평동,36.4749413,127.2807336,4,28830,41438,2633,0.395467826,0.568414699,0.0361174744,4322,53839,0,0,0,0,8,114,0,0,0,37,213.8,0.405405405,1
293064205,"가락마을7,8단지",36.5051871,127.240274,3,73399,28543,2225,0.704628145,0.274011923,0.0213599316,7517,195759,0,0,0,0,12,31,1,0,0,14.5,150,1.034482759,0
293064204,"고운뜰공원,대법원등기정보센터",36.511388,127.241627,2,70338,38782,3747,0.62319367,0.343607963,0.0331983662,2440,151477,0,0,0,0,11,294,0,0,0,23.1,65.3,1.082251082,1
293064203,"고운뜰공원,대법원등기정보센터",36.5114233,127.2412918,2,51091,58716,3340,0.451545335,0.518935544,0.0295191211,2319,195759,0,0,0,0,11,294,0,0,0,33,44.1,0.757575758,1
293064215,소담동(새샘마을),36.4823772,127.2977039,3,46815,48534,30909,0.370788386,0.384403365,0.24480825,5894,9302,0,0,0,1,18,138,1,0,0,40.8,139.8,0.612745098,0
293064214,소담동 새샘마을,36.4824576,127.2972683,4,100414,80726,6894,0.534020443,0.429315975,0.0366635821,4830,9302,0,0,0,1,20,194,0,0,0,33.6,136.4,0.744047619,1
293064213,글벗중학교(새샘마을9단지),36.4898882,127.2984603,5,13152,23083,603,0.35702264,0.626608394,0.0163689668,1240,9302,0,0,0,0,8,101,1,0,0,37.3,89.9,0.536193029,0
293064212,글벗중학교(새샘마을9단지),36.4906457,127.2986202,5,28275,15271,694,0.639127486,0.345185353,0.0156871609,1092,9302,0,0,0,0,6,94,1,0,0,40.8,28.9,0.490196078,0
293064211,"시청,시의회,교육청,세무서",36.478674,127.288769,4,81606,91302,6228,0.455553323,0.509679796,0.034766881,3577,30530,0,0,1,1,18,772,0,0,0,21.2,158.1,1.179245283,1
293064210,"시청,시의회,교육청,세무서",36.478356,127.288188,4,101835,85455,11354,0.512650772,0.4301917,0.057157528,2887,30530,0,0,1,1,18,760,0,0,0,16.5,164.6,1.515151515,1
293064209,보람동.대평동,36.4756055,127.2816359,4,43128,26884,1506,0.603036998,0.375905366,0.0210576358,4828,30530,0,0,0,0,8,19,1,0,0,31.1,159.8,0.803858521,1
293064208,보람동(호려울마을),36.4757635,127.2817304,5,37387,23173,3783,0.581057769,0.360147957,0.0587942744,5245,30530,0,0,0,0,7,12,1,0,0,30.9,167.8,0.809061489,0
293064222,국립세종도서관,36.5003888,127.2675805,1,12401,8708,689,0.568905404,0.399486191,0.0316084044,0,107847,0,0,1,0,9,15,0,0,1,29,51.3,0.689655172,0
293064221,세종고속시외버스터미널(지하),36.4706404,127.273189,5,38901,50067,22086,0.350289049,0.450834729,0.198876222,1184,53839,0,1,1,0,9,40,0,0,0,45.8,318,0.655021834,1
293064217,소담동(새샘마을),36.4827102,127.2973234,3,69402,32179,5876,0.645858343,0.299459319,0.0546823381,5302,9302,0,0,0,1,22,189,0,0,0,33.6,136.4,0.744047619,0
293064216,소담동 새샘마을,36.4826387,127.2977367,4,89801,59125,40936,0.472980375,0.311410393,0.215609232,5641,9302,0,0,0,1,19,175,1,0,0,40.8,139.8,0.612745098,1
293064234,"가락마을20,21단지",36.5172956,127.240792,2,39556,16560,2102,0.679446219,0.284448109,0.0361056718,3923,195759,0,0,0,0,10,15,1,0,0,17.8,128.6,0.842696629,0
293064233,"가락마을20,21단지",36.5175074,127.2407913,2,21572,31744,1930,0.390471708,0.574593636,0.0349346559,3335,195759,0,0,0,0,10,14,1,0,0,16.6,123.7,0.903614458,0
293064232,대평동(해들마을),36.4719176,127.2763944,4,18808,28272,4844,0.362221709,0.544488098,0.0932901934,3292,53839,0,0,0,0,15,329,0,0,0,25.9,261.5,0.579150579,0
293064245,국책연구단지남측,36.4910378,127.3040175,1,35,695,7,0.0474898236,0.943012212,0.00949796472,1750,29318,0,0,0,0,8,143,0,0,0,45.4,96.4,0.550660793,0
293064243,"법원.검찰청,경찰청",36.4869234,127.3019122,1,83,2171,20,0.0364995602,0.954705365,0.00879507476,2275,9302,0,0,0,1,16,376,1,0,0,35.2,122.1,0.710227273,0
293064242,"새뜸마을5,8단지",36.4823928,127.2532777,4,43478,20238,2029,0.661312647,0.30782569,0.0308616625,2988,61979,0,0,0,0,16,231,1,0,0,18.3,86.8,1.092896175,0
293064241,"새뜸마을5,8단지",36.4825015,127.2535174,4,51575,58344,6048,0.444738589,0.503108643,0.0521527676,3089,61979,0,0,0,0,17,229,0,0,0,13.2,115.3,1.515151515,0
293064255,국책연구단지,36.4913263,127.304,3,45336,68282,1174,0.394940414,0.594832393,0.0102271935,1750,29318,0,0,0,0,8,143,0,0,0,45.4,96.4,0.550660793,1
293064254,"법원.검찰청,경찰청",36.486842,127.301429,3,53657,59794,2860,0.461323521,0.514087232,0.0245892478,2771,9302,0,0,0,1,17,391,1,0,0,10.6,132.6,2.358490566,1
293064253,"법원.검찰청,경찰청",36.487095,127.301744,3,53354,45125,3681,0.522259201,0.441709084,0.036031715,2169,9302,0,0,0,1,16,376,1,0,0,35.2,122.1,0.710227273,1
293064252,대평동,36.472148,127.276445,4,27379,12370,5632,0.603314162,0.272581036,0.124104802,3349,53839,0,0,0,0,15,329,0,0,0,25.9,261.5,0.579150579,1
293064246,국책연구단지남측,36.492314,127.3043101,1,615,53,182,0.723529412,0.0623529412,0.214117647,328,29318,0,0,1,0,9,121,0,0,0,28.7,114.3,0.871080139,0
