정류장ID,정류장명,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,승차,하차,환승,위도,경도
293064151,가재마을11단지,0,0,0,1,20,10375,24251,604,36.5043789,127.2501706
293064150,대법원등기정보센터,0,0,0,0,11,64554,15191,5300,36.5118935,127.2423344
293064169,"새샘마을1,2단지",0,0,0,1,12,4514,13007,122,36.480853,127.299974
293064168,"새샘마을1,2단지",0,0,0,0,13,16807,3601,259,36.4807836,127.298936
293064167,"호려울마을8,9단지",0,0,0,0,12,9749,16286,211,36.4797747,127.296745
293064166,"호려울마을8,9단지",0,0,0,0,13,25466,5586,398,36.4796473,127.2960085
293064164,"세종우체국(남부서,보람초)",0,0,0,1,13,9464,42472,1516,36.4802554,127.2931435
293064178,다정동(장기로),0,0,0,0,5,1311,2447,105,36.4998106,127.2345693
293064207,보람동(해들마을),0,0,0,0,8,28419,40690,3157,36.4746524,127.2805
293064206,보람동.대평동,0,0,0,0,8,28830,41438,2633,36.4749413,127.2807336
293064205,"가락마을7,8단지",0,0,0,0,12,73399,28543,2225,36.5051871,127.240274
293064204,"고운뜰공원,대법원등기정보센터",0,0,0,0,11,70338,38782,3747,36.511388,127.241627
293064203,"고운뜰공원,대법원등기정보센터",0,0,0,0,11,51091,58716,3340,36.5114233,127.2412918
293064215,소담동(새샘마을),0,0,0,1,18,46815,48534,30909,36.4823772,127.2977039
293064214,소담동 새샘마을,0,0,0,1,20,100414,80726,6894,36.4824576,127.2972683
293064213,글벗중학교(새샘마을9단지),0,0,0,0,8,13152,23083,603,36.4898882,127.2984603
293064212,글벗중학교(새샘마을9단지),0,0,0,0,6,28275,15271,694,36.4906457,127.2986202
293064211,"시청,시의회,교육청,세무서",0,0,1,1,18,81606,91302,6228,36.478674,127.288769
293064210,"시청,시의회,교육청,세무서",0,0,1,1,18,101835,85455,11354,36.478356,127.288188
293064209,보람동.대평동,0,0,0,0,8,43128,26884,1506,36.4756055,127.2816359
293064208,보람동(호려울마을),0,0,0,0,7,37387,23173,3783,36.4757635,127.2817304
293064222,국립세종도서관,0,0,1,0,9,12401,8708,689,36.5003888,127.2675805
293064221,세종고속시외버스터미널(지하),0,1,1,0,9,38901,50067,22086,36.4706404,127.273189
293064217,소담동(새샘마을),0,0,0,1,22,69402,32179,5876,36.4827102,127.2973234
293064216,소담동 새샘마을,0,0,0,1,19,89801,59125,40936,36.4826387,127.2977367
293064234,"가락마을20,21단지",0,0,0,0,10,39556,16560,2102,36.5172956,127.240792
293064233,"가락마을20,21단지",0,0,0,0,10,21572,31744,1930,36.5175074,127.2407913
293064232,대평동(해들마을),0,0,0,0,15,18808,28272,4844,36.4719176,127.2763944
293064245,국책연구단지남측,0,0,0,0,8,35,695,7,36.4910378,127.3040175
293064243,"법원.검찰청,경찰청",0,0,0,1,16,83,2171,20,36.4869234,127.3019122
293064242,"새뜸마을5,8단지",0,0,0,0,16,43478,20238,2029,36.4823928,127.2532777
