주차장명,주소,위도,경도
나성동1,세종특별자치시 갈매로 208,36.4900277,127.2631608
용포로 공영주차장,세종특별자치시 금남면 신촌리 297-11,36.4684296,127.2823068
금남면1,세종특별자치시 금남면 용포느티나무길 22,36.4641351,127.2814599
2생활권 환승주차장B,세종특별자치시 나성남로 7-7,36.4820599,127.2621205
나성노상,세종특별자치시 노을1로 16,36.48061385,127.2608828
종촌동공영주차장,세종특별자치시 달빛로 53,36.5017286,127.2503313
아름동공영주차장,세종특별자치시 보듬3로 105,36.5115136,127.2540775
도담노상,세종특별자치시 보듬3로 8-20,36.5115136,127.2540775
부강면2,세종특별자치시 부강면 부강5길 18,36.5295334,127.3705722
부강면1,세종특별자치시 부강면 부강5길 19,36.5295334,127.3705722
부강면5,세종특별자치시 부강면 부강로 26-6,36.5286987,127.3664051
부강면4,세종특별자치시 부강면 시장길 20,36.5269875,127.3695311
부강면3,세종특별자치시 부강면 태산길 17,36.5278618,127.3681621
도시상징광장주차장,세종특별자치시 어울누리로 30,36.4862887,127.2642204
연동면1,세종특별자치시 연동면 내송길 6,36.5604123,127.3261819
전의면1,세종특별자치시 전의면 운주산로 1183,36.6791109,127.2056161
번암리2,세종특별자치시 조치원읍 군청로 23,36.58642465,127.2941684
신흥리1,세종특별자치시 조치원읍 군청로 87-16,36.5926559,127.2919626
죽림리1,세종특별자치시 조치원읍 도장말길 52,36.5887759,127.2970124
서창리1,세종특별자치시 조치원읍 돌마루5길 27,36.6080047,127.2933183
침산리13,세종특별자치시 조치원읍 문화2길 10,36.59957775,127.2892568
침산리6,세종특별자치시 조치원읍 문화7길 13,36.60164675,127.2883018
교리1,세종특별자치시 조치원읍 문화로 17,36.6029951,127.3006386
번암리1,세종특별자치시 조치원읍 번암안동네길 20,36.58335455,127.290966
세종전통시장주차타워,세종특별자치시 조치원읍 새내8길 17-1,36.5993905,127.2992612
교리3,세종특별자치시 조치원읍 새내로 154-1,36.6095573,127.2963123
교리2,세종특별자치시 조치원읍 새내로 165,36.6095573,127.2963123
조치원주차타워,세종특별자치시 조치원읍 새내로 99,36.6006799,127.2978935
죽림리2,세종특별자치시 조치원읍 새동네뒷골길 7-1,36.58982325,127.2922664
신흥리2,세종특별자치시 조치원읍 신흥샛터길 37,36.5976244,127.295077
원리1,세종특별자치시 조치원읍 으뜸길 122,36.5991708,127.2972215
원리3,세종특별자치시 조치원읍 으뜸길 215,36.60102,127.2958888
이벤트광장,세종특별자치시 조치원읍 장안길 14,36.5962711,127.3013813
신안리1,세종특별자치시 조치원읍 장안길 14,36.5962711,127.3013813
남리1,세종특별자치시 조치원읍 조치원4길 144-15,36.595178,127.300186
상리1,세종특별자치시 조치원읍 조치원로 54,36.60179805,127.3026428
죽림리4,세종특별자치시 조치원읍 죽림로 37,36.5919433,127.2950401
죽림리3,세종특별자치시 조치원읍 죽림본로 9,36.5918653,127.2977663
침산리9,세종특별자치시 조치원읍 행복 5길 18,36.6047545,127.2916706
침산리8,세종특별자치시 조치원읍 행복 5길 31-3,36.6053538,127.2931009
침산리7,세종특별자치시 조치원읍 행복 5길 8-1,36.6046566,127.2907521
침산리3,세종특별자치시 조치원읍 행복11길 12,36.6044117,127.2927864
침산리10,세종특별자치시 조치원읍 행복12길 1,36.60376005,127.2927528
침산리4,세종특별자치시 조치원읍 행복12길 5-6,36.60411995,127.2931316
침산리18,세종특별자치시 조치원읍 행복13길 5,36.60418415,127.2937563
침산리12,세종특별자치시 조치원읍 행복1길 11,36.60216775,127.2911112
침산리5,세종특별자치시 조치원읍 행복1길 13,36.6021968,127.2914296
침산리1,세종특별자치시 조치원읍 행복5길 29,36.6051441,127.2932611
침산리16,세종특별자치시 조치원읍 행복5길 7,36.6048324,127.2905941
침산리17,세종특별자치시 조치원읍 행복6길 16,36.6050746,127.2912971
침산리14,세종특별자치시 조치원읍 행복6길 18,36.60509215,127.291506
침산리15,세종특별자치시 조치원읍 행복6길 36,36.605805,127.2933327
침산리11,세종특별자치시 조치원읍 행복7길 3,36.6028549,127.2904616
소담동1,세종특별자치시 한누리대로 2023,36.4840792,127.300366
2생활권 환승주차장A,세종특별자치시 한솔동로 26,36.48098005,127.2613225
보람동1,세종특별자치시 호려울로 42,36.4787387,127.2905749
