지역,링크아이디,도로명,평균속도, 평균통행량 
세종특별자치시 -,4130000100,집현북로,35.9,47.1
세종특별자치시 -,4130000200,집현북로,22.6,61.7
세종특별자치시 -,4130000300,풍경채길,20.2,2.5
세종특별자치시 -,4130000400,풍경채길,23.2,4.8
세종특별자치시 -,4130000500,학교말길,39.6,12.3
세종특별자치시 -,4130000600,학교말길,37.7,10.1
세종특별자치시 -,4130000700,소정산단북로,13.4,0.2
세종특별자치시 -,4130000800,소정산단북로,17.6,0.2
세종특별자치시 -,4130000900,삼성당1길,39.5,6.1
세종특별자치시 -,4130001000,삼성당1길,38.5,5.4
세종특별자치시 -,4130001100,취금헌로,62.8,27.4
세종특별자치시 -,4130001200,취금헌로,67.6,24.8
세종특별자치시 -,4130001300,-,34.7,1.4
세종특별자치시 -,4130001400,-,31.4,1
세종특별자치시 -,4130001500,배일길,30.2,11
세종특별자치시 -,4130001600,배일길,25.4,9.1
세종특별자치시 -,4130001700,노장공단길,23.8,2.2
세종특별자치시 -,4130001800,노장공단길,23.2,2.8
세종특별자치시 -,4130001900,노장공단길,27.3,0.9
세종특별자치시 -,4130002000,노장공단길,20.6,1.6
세종특별자치시 -,4130002100,노장공단길,18.5,0.1
세종특별자치시 -,4130002200,노장공단길,30.5,0.1
세종특별자치시 -,4130002300,내창2길,19.6,14.5
세종특별자치시 -,4130002400,내창2길,17.9,16.4
세종특별자치시 -,4130002500,서북부4로,33.6,1.1
세종특별자치시 -,4130002600,서북부4로,32.2,0.7
세종특별자치시 -,4130002700,침산로,32,28.3
세종특별자치시 -,4130002800,침산로,30,31.1
세종특별자치시 -,4130002900,-,22.9,3.1
세종특별자치시 -,4130003000,-,21.9,2.6
세종특별자치시 -,4130003100,세종로,45.8,6.9
세종특별자치시 -,4130003200,세종로,49.3,20.5
세종특별자치시 -,4130003300,공단로,28.5,35
세종특별자치시 -,4130003400,공단로,26,60.9
세종특별자치시 -,4130003500,홍축골길,19,3.6
세종특별자치시 -,4130003600,홍축골길,24.2,5.6
