정류장ID,정류장명,위도,경도
186004061,구룡,36.44605,127.36842
186004062,구룡,36.44612,127.36868
186004063,서한이다음2단지,36.45072,127.36265
186004064,서한이다음2단지,36.45082,127.36266
186004065,구룡2통,36.44728,127.36536
186004066,구룡2통,36.44708,127.36545
186004073,대광로제비앙아파트,36.44269,127.38441
186004074,대광로제비앙아파트,36.44248,127.38485
186004119,충남대학교,36.36141,127.34421
186004128,금고1통,36.46376,127.39037
186004129,금고1통,36.46384,127.39047
186004130,금고2통,36.45899,127.38511
186004131,금고2통,36.4589,127.38522
186004132,금고동,36.4667,127.39038
186004133,금고동,36.46679,127.39056
186004134,금고동매립장,36.46046,127.38863
186004135,금고동매립장,36.46052,127.38882
186004136,대동금탄동입구,36.47203,127.38796
186004137,대동금탄동입구,36.47211,127.38797
186004141,노은농수산물시장,36.3669,127.3215
186004142,노은농수산물시장,36.3667,127.3215
186004147,월드컵경기장역,36.36888,127.31788
186004148,월드컵경기장역,36.36791,127.31808
186004207,둔곡동,36.45382,127.36172
186004208,둔곡동,36.45383,127.36183
186004209,둔곡3교,36.45706,127.36208
186004210,둔곡3교,36.45722,127.36216
186004227,반석마을입구,36.3952,127.3124
186004228,반석마을입구,36.39535,127.31195
186004229,반석역,36.39155,127.31487
186004230,반석역,36.39142,127.31514
186004272,봉명동우체국,36.35464,127.33804
186004287,온천교,36.35811,127.3429
186004288,온천교,36.3581827,127.3434456
186004299,유성온천역5번출구,36.35428,127.33994
186004300,유성온천역6번출구,36.35483,127.34174
186004301,유성온천역7번출구,36.35429,127.34178
186004302,유성자이아파트,36.35588,127.3368
186004307,구즉동주민센터입구,36.44109,127.3857
186004308,구즉동주민센터입구,36.44107,127.386
186004310,구즉초등학교,36.43997,127.38196
186004313,송강마을아파트,36.4376,127.38602
186004319,협진운수,36.44546,127.38392
186004320,협진운수,36.44489,127.38408
186004322,휴먼시아아파트,36.43802,127.38519
186004373,송강마을아파트,36.43757,127.38576
186004384,한진오피스텔,36.35644,127.34206
186004391,신동1통,36.47508,127.36701
186004392,신동1통,36.47515,127.3671
186004393,신동2통,36.47456,127.37276
186004394,신동2통,36.47465,127.3728
186004397,신동,36.47515,127.36999
186004431,안산1통,36.41063,127.29954
186004432,안산1통,36.41042,127.29963
186004433,안산산성,36.4126,127.29774
186004434,안산산성,36.41308,127.29805
186004452,국방과학연구소입구,36.40603,127.30304
186004453,국방과학연구소입구,36.40605,127.30316
186004454,외삼1통,36.39843,127.31015
186004455,외삼삼거리,36.39935,127.3099
186004533,유성고속버스터미널,36.35886,127.33616
186004534,유성고속버스터미널,36.35815,127.33647
186004543,죽동네거리,36.36675,127.33157
186004544,죽동네거리,36.36652,127.33152
186004620,노은도서관,36.38214,127.31901
186004701,KT유성지사,36.36215,127.33469
186004702,KT유성지사,36.36312,127.33432
186004704,외삼1통,36.40336,127.31012
186004705,안산교,36.41583,127.29789
186004706,안산교,36.41643,127.29797
186004811,지족초등학교,36.37942,127.31772
186005193,국방과학연구소,36.407494,127.30654
