LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130443600,4130046700,4130045200,1,104,0,-,동신길,0,0,0,30,0,0,0,0,615.6853119,20230519,,,,41.1,6.8
4130309900,4130172900,4130173100,1,104,0,-,부강외천로,0,0,0,60,0,0,0,0,344.7742522,20230519,,,,32.2,8.9
4130230300,4130061900,4130062100,1,104,0,-,만남로6길,0,0,0,50,0,0,0,0,42.41170001,20230519,,,,31.7,20.7
4130256100,4130082400,4130086300,2,104,0,-,절재로,0,0,0,50,0,0,0,0,173.8494277,20230519,,,,25.7,102.9
4130157300,4130095100,4130094000,1,104,0,-,나성남로,0,0,0,30,0,0,0,0,127.8279459,20230519,,,,26.7,10.7
4130387700,4130141700,4130141800,2,104,0,-,새내로,0,0,0,40,0,0,0,0,35.77216314,20230519,,,,22.1,180.8
4130458800,4130027600,4130027800,2,103,3,43,세종평택로,0,0,0,90,5,0,0,0,124.4448606,20230519,,,,88.5,61.2
4130104300,4130051600,4130051500,1,104,0,-,산림박물관길,0,0,0,50,0,0,0,0,37.70345231,20230519,,,,51.9,20.5
4130230100,4130095300,4130091600,2,104,0,-,도움4로,0,0,0,40,0,0,0,0,168.1527495,20230519,,,,36.1,51.1
4130395900,4130144000,4130144600,1,104,0,-,문화로,0,0,0,30,0,0,0,0,294.2118666,20230519,,,,14.9,295.7
4130265300,4130090500,4130090000,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,92.15235568,20230519,,,,52.1,158.8
4130113000,4130117600,4130117800,1,104,0,-,용포로,0,0,0,40,0,0,0,0,129.0086952,20230519,,,,24.6,31.1
4130177500,4130080500,4130082500,2,104,0,-,노을7로,0,0,0,30,0,0,0,0,109.8034457,20230519,,,,23.1,46.8
4130059500,4130016300,4130016200,1,104,0,-,새롬중앙1로,0,0,0,30,0,0,0,0,261.1166878,20230519,,,,17.9,12.2
4130374000,4130136600,4130136200,1,104,0,-,죽림본로,0,0,0,30,0,0,0,0,129.7786779,20230519,,,,26.1,28.7
4130095900,4130114300,4130114000,1,103,0,1,반포세종로,0,0,1,60,0,0,0,0,175.1982381,20230519,,,,70.1,2.4
4130242600,4130074300,4130074800,2,104,0,-,달빛로,0,0,0,40,0,0,0,0,114.6857609,20230519,,,,22.4,109.1
4130009700,4130150100,4130022500,1,104,0,-,반곡1길,0,0,0,40,0,0,0,0,294.6469359,20230519,,,,35.6,33.4
4130046100,4130133500,4130011200,1,104,0,-,원수산로,0,0,0,40,0,0,0,0,698.9773031,20230519,,,,83.4,59.6
4130074300,4130148300,4130021000,1,104,0,-,국책연구원3로,0,0,0,30,0,0,0,0,72.82983275,20230519,,,,30.4,92.6
4130121400,4130110000,4130109100,2,104,0,-,해들로,0,0,0,40,0,0,0,0,132.1861165,20230519,,,,5.7,118.7
4130389800,4130141400,4130141600,2,104,0,-,새내로,0,0,0,40,0,0,0,0,115.5304789,20230519,,,,32.3,160.2
4130410600,4130130400,4130132400,1,104,0,-,세종로,0,0,0,40,0,0,0,0,127.7001387,20230519,,,,30.2,88.2
4130124900,4130118900,4130117300,2,104,0,-,대평로,0,0,0,40,0,0,0,0,188.9370848,20230519,,,,18,72.1
4130328600,4130161100,4130161200,3,105,0,96,연청로,0,0,0,70,0,0,0,0,36.00600146,20230519,,,,94.1,114.2
4130120100,4130111500,4130113600,3,104,0,-,행복대로,0,0,0,50,0,0,0,0,165.6670247,20230519,,,,56.9,98.8
4130386200,4130142900,4130144400,1,104,0,-,번영1길,0,0,0,30,0,0,0,0,96.25649058,20230519,,,,19.4,12.7
4130336200,4130168300,4130165600,2,104,0,-,연청로,0,0,0,70,0,0,0,0,859.6915231,20230519,,,,91.2,303.8
4130248800,4130086900,4130087000,2,104,0,-,다솜1로,0,0,0,40,0,0,0,0,133.959379,20230519,,,,29.1,27.2
4130023700,4130050000,4130003100,1,104,0,-,산단길,0,0,0,30,0,0,0,0,50.28712062,20230519,,,,28.2,2.5
4130357300,4130118500,4130119200,1,106,0,627,당산로,0,0,0,30,0,0,0,0,98.37791705,20230519,,,,9.4,104.8
4130454800,4130052500,4130051900,1,104,0,-,노곡길,0,0,0,10,0,0,0,0,164.759199,20230519,,,,39.2,0.2
4130123600,4130118900,4130119800,2,104,0,-,대평로,0,0,0,40,0,0,0,0,127.5791941,20230519,,,,24.1,71.1
4130208000,4130046200,4130044700,1,106,3,691,장척로,0,0,0,60,0,0,0,0,362.7100259,20230519,,,,32,95.3
4130244100,4130092000,4130087000,2,104,0,-,도움5로,0,0,0,50,0,0,0,0,262.078162,20230519,,,,34.3,230.2
4130197700,4130097200,4130098700,1,104,0,-,가름로.부속2길,0,0,0,40,0,0,0,0,122.2181883,20230519,,,,26.5,37.8
4130347600,4130144900,4130150200,1,104,0,-,문주길,0,0,0,10,0,0,0,0,976.4335371,20230519,,,,105.1,181.4
4130040700,4130165600,4130165400,2,104,0,-,갈산산수로,0,0,0,70,0,0,0,0,203.474244,20230519,,,,48.9,31.4
4130173300,4130086400,4130085200,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,198.818191,20230519,,,,28.9,313.8
4130270500,4130071500,4130074900,1,104,0,-,보듬3로,0,0,0,30,0,0,0,0,217.3305569,20230519,,,,17.5,102.1
4130401200,4130120700,4130119100,1,104,0,-,내창천로,0,0,0,40,0,0,0,0,159.7926787,20230519,,,,29.4,36.7
4130139900,4130138300,4130136100,2,104,0,-,보람동로,0,0,0,30,0,0,0,0,276.1975835,20230519,,,,13.1,120.2
4130012200,4130023900,4130154400,2,104,0,-,집현서로,0,0,0,30,0,0,0,0,79.90737723,20230519,,,,34.2,23.3
4130372300,4130105700,4130097900,1,106,0,604,대첩로,0,0,0,60,0,0,0,0,609.1063807,20230519,,,,44,75.4
4130177400,4130140700,4130140300,2,104,0,-,시청대로,0,0,0,20,0,0,0,0,94.84921584,20230519,,,,28.4,42.2
4130304000,4130155700,4130156900,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,366.8075429,20230519,,,,70.6,60.5
4130194400,4130105400,4130103300,1,104,0,-,다솜로,0,0,0,30,0,0,0,0,431.5421826,20230519,,,,29.6,35.5
4130216400,4130172700,4130172500,1,106,0,591,시목부강로,0,0,0,60,0,0,0,0,384.7195295,20230519,,,,57.7,11.4
4130421700,4130123700,2710195800,2,103,3,1,세종로,0,0,0,60,0,0,0,0,106.9160193,20230519,,,,67.8,74.4
4130216000,4130074600,4130072900,2,104,0,-,달빛로,0,0,0,40,0,0,0,0,225.6938995,20230519,,,,12.4,179.5
4130224300,4130055900,4130056900,1,104,0,-,만남로1길,0,0,0,50,0,0,0,0,42.10436276,20230519,,,,33,31.8
4130216600,4130106700,4130108600,1,104,0,-,다솜로,0,0,0,30,0,0,0,0,575.2864349,20230519,,,,27.1,156.4
4130222800,4130062000,4130063100,1,104,0,-,만남로4길,0,0,0,50,0,0,0,0,244.3875814,20230519,,,,35.8,4.7
4130216500,4130172500,4130172700,1,106,0,591,시목부강로,0,0,0,60,0,0,0,0,387.3111207,20230519,,,,56.1,13.1
4130216700,4130108600,4130106700,1,104,0,-,다솜로,0,0,0,30,0,0,0,0,567.5745822,20230519,,,,25.7,139.9
4130216800,4130102600,4130101400,1,104,0,-,갈매로.부속4길,0,0,0,30,0,0,0,0,109.9911103,20230519,,,,33.2,30.1
4130215900,4130072900,4130074600,2,104,0,-,달빛로,0,0,0,40,0,0,0,0,221.7426693,20230519,,,,15.1,204.1
4130223500,4130094200,4130095300,1,104,0,-,다솜2로,0,0,0,30,0,0,0,0,154.9619858,20230519,,,,30.3,24
4130231400,4130069000,4130068900,1,104,0,-,달빛1로,0,0,0,40,0,0,0,0,363.2162159,20230519,,,,19.4,116.3
4130297500,4130060900,4130062600,2,104,0,-,마음로,0,0,0,50,0,0,0,0,193.9975726,20230519,,,,27.9,52.2
4130258200,4130099400,4130102900,1,104,0,-,절재로,0,0,0,50,0,0,0,0,208.1473505,20230519,,,,41.1,78.9
