정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293055058,세종고속시외버스터미널,36.4689905,127.2735878,25,0.35444518,0.440835502,0.204719318,1082,53839,5.7,118.7,3.50877193,거짓,6,21,572159,572159,3.280964331
293055059,세종고속시외버스터미널,36.46881,127.2735046,22,0.430216485,0.281598549,0.288184967,1168,53839,21.4,38.1,0.934579439,거짓,6,21,599719,599719,2.336317041
293056002,도담동,36.51483,127.25896,4,0.573984783,0.313249889,0.112765328,4526,62262,10.4,508,2.403846154,TRUE,24,475,543997,212687,2.06928889
293056001,도담동(도램마을),36.5149714,127.2587943,10,0.291665823,0.623974722,0.0843594552,4526,62262,10.4,508,2.403846154,TRUE,23,477,543389,212449,2.047008412
293056004,도담동(도램마을),36.514017,127.2593948,9,0.562926838,0.147388834,0.289684328,5089,62262,20.2,423.6,1.237623762,TRUE,23,483,679122,265517,1.825143612
293064079,"시청,시의회,교육청,세무서",36.478188,127.288035,5,0.444334669,0.493329994,0.0623353371,2887,30530,16.5,164.6,1.515151515,거짓,20,760,215592,215592,1.639617419
293062005,정부세종청사남측,36.5008322,127.2593406,11,0.478709721,0.240969147,0.280321132,18,107847,31.8,255.6,0.786163522,거짓,17,109,382522,382522,1.626546314
293056003,도담동,36.5140662,127.259188,5,0.406811019,0.497739131,0.0954498501,5574,62262,20.2,423.6,1.237623762,TRUE,24,483,454029,177512,1.489959032
293064080,"시청,시의회,교육청,세무서",36.478828,127.288963,5,0.567654984,0.358058783,0.074286233,2937,30530,21.2,158.1,1.179245283,거짓,19,744,209312,209312,1.445410582
293062008,정부세종청사남측,36.5016046,127.2601032,10,0.364231591,0.448816594,0.186951815,195,107847,34.4,312.6,0.726744186,거짓,17,80,341810,341810,1.419959386
293064269,과학기술정보통신부,36.4959777,127.2634881,3,0.654153595,0.311178462,0.0346679428,1222,107847,7.7,152,3.246753247,거짓,16,367,56421,56421,1.39699197
293064139,"가재마을5,8단지",36.5009207,127.2497831,3,0.682821649,0.257813736,0.0593646147,5371,88689,12.4,179.5,1.612903226,거짓,20,237,151656,151656,1.346924262
293001075,조치원역뒤편,36.60061,127.29509,4,0.218495983,0.755498309,0.0260057079,3077,309714,28.8,66.6,0.694444444,거짓,11,392,212338,212338,1.261216453
293053004,새롬동.나성동,36.48771,127.25729,4,0.515508527,0.459411152,0.0250803205,3064,83219,27.2,311.4,0.919117647,TRUE,25,904,314988,123151,1.246370883
293064264,다정동커뮤니티센터,36.494341,127.248799,4,0.585804384,0.384148823,0.0300467931,7579,40431,21,90.8,0.952380952,거짓,20,255,157288,157288,1.15936626
