학교명,학교급구분,소재지도로명주소,위도,경도
나성중학교,중학교,세종특별자치시 갈매로 298,36.49085227,127.2639769
세종중학교,중학교,세종특별자치시 조치원읍 새내로 160,36.60705472,127.2977981
반곡중학교,중학교,세종특별자치시 시청대로 480,36.50055054,127.3118768
종촌중학교,중학교,세종특별자치시 도움1로 126,36.50277265,127.2456842
양지중학교,중학교,세종특별자치시 갈매로 512,36.50873217,127.2684692
집현중학교,중학교,세종특별자치시 집현서로 42,36.49088424,127.3224218
어진중학교,중학교,세종특별자치시 다솜로 10,36.49820157,127.2548143
부강중학교,중학교,세종특별자치시 부강면 부강로 25-7,36.52631715,127.3648142
두루중학교,중학교,세종특별자치시 만남로 211,36.51807167,127.2386496
아름중학교,중학교,세종특별자치시 달빛1로 167,36.51429197,127.245223
장기중학교,중학교,세종특별자치시 장군면 장척로 359,36.4938836,127.2017261
연동중학교,중학교,세종특별자치시 연동면 내판로 10-13,36.55410203,127.3302463
보람중학교,중학교,세종특별자치시 남세종로 423,36.47777948,127.2934042
고운중학교,중학교,세종특별자치시 만남로 65,36.50533931,127.2377219
한솔중학교,중학교,세종특별자치시 나리로 43,36.47616935,127.2549804
새움중학교,중학교,세종특별자치시 다정서로 12,36.49134972,127.2471249
연서중학교,중학교,세종특별자치시 연서면 연서로 115,36.58064127,127.2577898
도담중학교,중학교,세종특별자치시 보람로 80,36.51556773,127.2634362
글벗중학교,중학교,세종특별자치시 소담4로 33,36.48858315,127.2989041
금호중학교,중학교,세종특별자치시 대평로 27,36.47045973,127.2801713
소담중학교,중학교,세종특별자치시 남세종로 340,36.48229145,127.3016005
전의중학교,중학교,세종특별자치시 전의면 운주산로 1260-6,36.68165619,127.1975871
다정중학교,중학교,세종특별자치시 다정서로 52,36.4943076,127.2459159
새뜸중학교,중학교,세종특별자치시 새롬중앙로 62-12,36.48695829,127.2525685
새롬중학교,중학교,세종특별자치시 어울로 41,36.48150437,127.2495766
해밀중학교,중학교,세종특별자치시 해밀2로 6,36.52788475,127.2687655
조치원중학교,중학교,세종특별자치시 조치원읍 대첩로 90,36.5957577,127.2864278
도담고등학교,고등학교,세종특별자치시 보듬4로 41,36.51420716,127.2634446
세종고등학교,고등학교,세종특별자치시 조치원읍 조치원중고길 10,36.6113263,127.298987
다정고등학교,고등학교,세종특별자치시 다정남로 15,36.49334119,127.2422287
세종과학예술영재학교,고등학교,세종특별자치시 달빛1로 265,36.52289844,127.2491308
세종국제고등학교,고등학교,세종특별자치시 달빛1로 251,36.52175116,127.2468867
세종미래고등학교,고등학교,세종특별자치시 부강면 문곡달미길 6,36.52678816,127.3818926
고운고등학교,고등학교,세종특별자치시 마음안로 93,36.51022904,127.2330779
세종대성고등학교,고등학교,세종특별자치시 다솜로 22,36.49713137,127.2546814
양지고등학교,고등학교,세종특별자치시 갈매로 518,36.50957686,127.2692915
세종여자고등학교,고등학교,세종특별자치시 조치원읍 봉산로 16,36.60790871,127.2879076
보람고등학교,고등학교,세종특별자치시 한누리대로 2176,36.47764107,127.2840392
반곡고등학교,고등학교,세종특별자치시 시청대로 566,36.49675815,127.3166201
종촌고등학교,고등학교,세종특별자치시 달빛1로 60,36.50463068,127.2458378
두루고등학교,고등학교,세종특별자치시 마음안1로 53,36.51626999,127.2273942
아름고등학교,고등학교,세종특별자치시 달빛1로 151,36.51303923,127.2452501
세종예술고등학교,고등학교,세종특별자치시 중앙공원서로 60,36.49030629,127.2691382
세종장영실고등학교,고등학교,세종특별자치시 금남면 금남구즉로 196,36.47763276,127.2994619
소담고등학교,고등학교,세종특별자치시 남세종로 326 소담고등학교,36.4822107,127.3028199
해밀고등학교,고등학교,세종특별자치시 해밀2로 36,36.52634698,127.2705972
한솔고등학교,고등학교,세종특별자치시 누리로 34,36.47842598,127.2528695
새롬고등학교,고등학교,세종특별자치시 새롬서로 68,36.48659299,127.2491257
