정류장명,위도,경도,입지 점수,BRT 정류장 여부,순위
세종고속시외버스터미널,36.4689905,127.2735878,3.2809643310743675,0,1
세종고속시외버스터미널,36.46881,127.2735046,2.33631704089429,0,2
도담동,36.51483,127.25896,2.069288889887254,1,3
도담동(도램마을),36.5149714,127.2587943,2.0470084118062832,1,4
도담동(도램마을),36.514017,127.2593948,1.8251436123461977,1,5
"시청,시의회,교육청,세무서",36.478188,127.288035,1.6396174188650046,0,6
정부세종청사남측,36.5008322,127.2593406,1.6265463143259933,0,7
도담동,36.5140662,127.259188,1.4899590317825109,1,8
"시청,시의회,교육청,세무서",36.478828,127.288963,1.4454105815577891,0,9
정부세종청사남측,36.5016046,127.2601032,1.419959386439989,0,10
"가재마을5,8단지",36.5009207,127.2497831,1.3469242616994428,0,11
새롬동.나성동,36.48771,127.25729,1.2463708827315962,1,12
정부세종청사북측,36.5051501,127.261382,1.1152847931115693,0,13
"새롬동,나성동(청소년센터)",36.4877395,127.2571293,1.108154070806241,1,14
정부세종청사북측,36.5048938,127.2616877,1.1008853431052723,0,15
종촌종합복지센터,36.5022184,127.2474138,1.0713079268301309,0,16
"시청,시의회,교육청,세무서",36.478356,127.288188,1.0404618872495677,1,17
한국산업인력공단(세종지사),36.4903,127.256369,0.9711948052811196,1,18
종촌종합복지센터,36.5019154,127.246929,0.9112704629625292,0,19
"시청,시의회,교육청,세무서",36.478674,127.288769,0.9091218293762215,1,20
나릿재마을,36.4912197,127.2581891,0.8770419558361415,0,21
"가락마을7,8단지",36.5051871,127.240274,0.8655983008667094,0,22
나릿재마을,36.4914044,127.2581439,0.8383767830095319,0,23
다정동커뮤니티센터,36.495506,127.249035,0.8263045185017466,0,24
"가락마을7,8단지",36.5055858,127.2395189,0.7897482230422135,0,25
가재마을7단지,36.5049528,127.248745,0.738506228529337,0,26
가재마을7단지,36.5051417,127.2489733,0.7291858347018568,0,27
정부세종청사북측,36.5050692,127.2615051,0.7228921519951874,1,28
정부세종청사북측,36.504176,127.2611617,0.7038263259684406,1,29
가재마을11단지,36.5043789,127.2501706,0.6918135536193141,0,30
"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854,0.6795476334427211,0,31
"가온마을6,9단지",36.498607,127.24896,0.6317419524318433,0,32
정부세종청사남측,36.5008869,127.2596196,0.5831651776334924,1,33
"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959,0.5810481826439997,0,34
"가온마을6,9단지",36.4986116,127.2491786,0.5647205295487586,0,35
고운중학교,36.5060786,127.2377584,0.5447033029820758,0,36
과기정통부(중기부),36.49753,127.26038,0.5003245549649601,0,37
가락마을6단지,36.502547,127.238868,0.4813013855872189,0,38
"나릿재마을 4,6단지",36.4916231,127.2611096,0.4750119027961815,0,39
"종촌고(가재마을3,4단지)",36.5052447,127.2443833,0.4606922994063936,0,40
고운중학교,36.5068832,127.2367283,0.4557679842229607,0,41
"도램마을8,10단지",36.5119283,127.2595385,0.4503666748144495,1,42
고운동커뮤니티센터남측,36.5042791,127.2352687,0.4332784364814613,0,43
"도램마을8,10단지",36.5121473,127.2599592,0.4269182896546915,1,44
범지기마을1단지,36.5089857,127.242171,0.4236319083337087,0,45
정부세종청사남측,36.50173,127.25991,0.4123811284386454,1,46
"종촌고(가재마을3,4단지)",36.5050718,127.2436524,0.3800585998643022,0,47
가락마을8단지,36.5089327,127.2405854,0.2984239301636281,0,48
"두루초,중학교",36.5187165,127.2391789,0.2857502363009072,0,49
한결초등학교,36.4960562,127.2472552,0.2807973001871994,0,50
보건복지부 고용노동부,36.5024356,127.2609046,0.2779113218437319,0,51
가재마을5단지.가온마을6단지,36.4994482,127.2466099,0.2765796566139177,1,52
대평동(해들마을),36.4719176,127.2763944,0.2683625142209898,0,53
"세종우체국(남부서,보람초)",36.4802554,127.2931435,0.2652036601328261,0,54
세종고속시외버스터미널(지상),36.4693014,127.2740033,0.2447236919779572,1,55
"두루초,중학교",36.5191814,127.2394622,0.2356941248151402,0,56
"가재마을9, 10단지",36.5018101,127.2525964,0.2291477046833207,0,57
한결초등학교,36.4958942,127.2473673,0.2227579779633235,0,58
과기정통부(중기부),36.49776,127.2605,0.2083285268977194,0,59
가락마을8단지,36.5087662,127.2407144,0.2024373663562509,0,60
"가재마을9, 10단지",36.5015892,127.2525636,0.2013872119826997,0,61
"종촌초등학교(가락마을6, 7단지)",36.5034395,127.2408773,0.1726423613516136,1,62
가락마을8단지.가재마을4단지,36.5076286,127.2416171,0.1593446915287368,1,63
가재마을5단지.가온마을6단지,36.49915,127.24736,0.1345472215264865,1,64
대평동,36.472148,127.276445,0.1228013999746201,1,65
가락마을6단지,36.5024695,127.2384071,0.0707154465938473,0,66
보건복지부 고용노동부,36.5022146,127.2608383,0.0096253660358313,0,67
세종충남대병원,36.5186505,127.2570215,-0.0401282111056167,1,68
세종고속시외버스터미널(지하),36.4706404,127.273189,-0.0751088421104003,1,69
문화체육관광부,36.49931,127.26472,-0.1299741583993,0,70
