사물관리번호,Geo_x,Geo_y
OBJ043611000000025,982371.5127,1833098.855
OBJ043611000000023,981015.5064,1831414.614
OBJ043611000000034,980362.9246,1830168.647
OBJ043611000000022,979699.0962,1830180.865
OBJ043611000000024,977777.5923,1830384.284
OBJ043611000000020,978269.8499,1832294.626
OBJ043611000000019,978290.1948,1832146.639
OBJ043611000000021,978703.4392,1831414.52
OBJ043611000000031,979033.1565,1833575.227
OBJ043611000000028,978926.7406,1834181.837
OBJ043611000000026,978804.1358,1834075.222
OBJ043611000000016,978488.674,1833815.778
OBJ043611000000015,978487.1817,1833712.948
OBJ043611000000014,978587.3629,1834072.94
OBJ043611000000013,978665.1633,1834178.395
OBJ043611000000029,978442.2419,1834193.595
OBJ043611000000030,978567.4431,1833716.783
OBJ043611000000032,979072.6918,1834361.72
OBJ043611000000027,979334.0041,1834009.299
OBJ043611000000017,978422.8875,1835147.252
OBJ043611000000018,978440.5438,1835287.001
OBJ043611000000001,981832.4421,1844863.676
OBJ043611000000004,982059.0163,1844856.45
OBJ043611000000005,982190.441,1844875.358
OBJ043611000000003,981945.8145,1844760.953
OBJ043611000000006,982344.0104,1844934.72
OBJ043611000000002,981931.1923,1845003.675
OBJ043611000000007,981487.0913,1845098.486
OBJ043611000000009,981151.5189,1844147.673
OBJ043611000000008,981202.6612,1843747.284
OBJ043611000000010,981783.7653,1843815.923
OBJ043611000000011,980950.2692,1846548.194
OBJ043611000000033,988105.1218,1836970.124
OBJ043611000000012,973532.1503,1853521.707
